,0
0,1回表 埼玉西武の攻撃
1,  ランナー無し
2,      ノーアウト
3,投手 加藤
4,試合開始
5,      1アウト
6,1番 秋山
7,遊ゴロ
8,内角低めのフォークを打つもショートゴロ 1アウト
9,      2アウト
10,2番 源田
11,一ゴロ
12,内角のスライダーを打つもファーストゴロ 2アウト
13,1塁
14,3番 浅村
15,中安
16,外角高めのストレートをセンターへ打ってヒット 1塁
17,      3アウト
18,4番 山川
19,空三振
20,低めのフォークを空振り三振 3アウトチェンジ
21,1回表を閉じる
22,1回裏 北海道日本ハムの攻撃
23,  1塁
24,      ノーアウト
25,投手 ウルフ
26,1番 西川
27,遊安
28,外角のツーシームをショートへ打ってヒット 1塁
29,ランナー無し
30,      2アウト
31,2番 近藤
32,一併打
33,ランナー1塁 内角のツーシームを打つもファーストゴロのダブルプレー 2アウト
34,1塁
35,3番 レアード
36,左安
37,外角低めのカーブをレフトへ打ってヒット 1塁
38,      3アウト
39,4番 中田
40,右飛
41,ランナー1塁 外角高めのツーシームを打つもライトフライ 3アウトチェンジ
42,1回裏を閉じる
43,2回表 埼玉西武の攻撃
44,  ランナー無し
45,      1アウト
46,投手 加藤
47,5番 中村
48,空三振
49,内角低めのフォークを空振り三振 1アウト
50,      2アウト
51,6番 外崎
52,空三振
53,内角のストレートを空振り三振 2アウト
54,      3アウト
55,7番 メヒア
56,空三振
57,外角低めのフォークを空振り三振 3アウトチェンジ
58,2回表を閉じる
59,2回裏 北海道日本ハムの攻撃
60,  1塁
61,      ノーアウト
62,投手 ウルフ
63,5番 アルシア
64,右安
65,高めのツーシームをライトへ打ってヒット 1塁
66,ランナー無し
67,      2アウト
68,6番 松本
69,二併打
70,ランナー1塁 低めのカーブを打つもセカンドゴロのダブルプレー 2アウト
71,      3アウト
72,7番 横尾
73,空三振
74,外角低めのカーブを空振り三振 3アウトチェンジ
75,2回裏を閉じる
76,3回表 埼玉西武の攻撃
77,  2塁
78,      ノーアウト
79,投手 加藤
80,8番 炭谷
81,左２
82,外角高めのフォークをレフトへ打ってツーベース 2塁
83,3塁
84,      1アウト
85,9番 金子侑
86,一犠打
87,ランナー2塁 送りバント成功 3塁 1アウト
88,ランナー無し
89,      3アウト
90,1番 秋山
91,右飛
92,ランナー3塁 内角高めのストレートを打つもライトフライ
93,3塁走者炭谷:走塁死 3アウトチェンジ
94,ベンチリポート
95,吉井投手コーチ（3回までの加藤投手評）
96,「緊張もある中で、いいテンポでよく投げています。これで、いいのだ！」
97,3回表を閉じる
98,3回裏 北海道日本ハムの攻撃
99,  ランナー無し
100,      1アウト
101,投手 ウルフ
102,8番 石井一
103,二ゴロ
104,外角高めのツーシームを打つもセカンドゴロ 1アウト
105,1塁
106,9番 清水
107,中安
108,高めのツーシームをセンターへ打ってヒット 1塁
109,2塁1塁
110,1番 西川
111,中安
112,"ランナー1塁 外角のツーシームをセンターへ打ってヒット 1,2塁"
113,      2アウト
114,2番 近藤
115,左飛
116,"ランナー1,2塁 低めのツーシームを打つもレフトフライ 2アウト"
117,      3アウト
118,3番 レアード
119,右飛
120,"ランナー1,2塁 外角高めのツーシームを打つもライトフライ 3アウトチェンジ"
121,3回裏を閉じる
122,4回表 埼玉西武の攻撃
123,  ランナー無し
124,      1アウト
125,投手 加藤
126,2番 源田
127,左飛
128,高めのカーブを打つもレフトフライ 1アウト
129,1塁
130,3番 浅村
131,中安
132,外角のカーブをセンターへ打ってヒット 1塁
133,      2アウト
134,4番 山川
135,空三振
136,内角のストレートを空振り三振 2アウト
137,      3アウト
138,5番 中村
139,捕ゴロ
140,ランナー1塁 低めのカーブを打つもキャッチャーゴロ 3アウトチェンジ
141,4回表を閉じる
142,4回裏 北海道日本ハムの攻撃
143,  ランナー無し
144,      1アウト
145,投手 ウルフ
146,4番 中田
147,三ゴロ
148,外角低めのツーシームを打つもサードゴロ 1アウト
149,      2アウト
150,5番 アルシア
151,左飛
152,高めのカットボールを打つもレフトフライ 2アウト
153,      3アウト
154,6番 松本
155,遊ゴロ
156,低めのツーシームを打つもショートゴロ 3アウトチェンジ
157,4回裏を閉じる
158,5回表 埼玉西武の攻撃
159,  1塁
160,      ノーアウト
161,投手 加藤
162,6番 外崎
163,左安
164,ど真ん中のスライダーをレフトへ打ってヒット 1塁
165,2塁
166,      1アウト
167,7番 メヒア
168,空三振
169,低めのフォークを空振り三振
170,1塁走者外崎:盗塁成功 2塁 1アウト
171,3塁
172,      2アウト
173,8番 炭谷
174,右飛
175,ランナー2塁 ど真ん中のカーブを打つもライトフライ 3塁 2アウト
176,1塁
177,9番 金子侑
178,中安
179,ランナー3塁 高めのストレートをセンターへ先制タイムリーヒット 1塁 日0-1西
180,0 - 1
181,2塁
182,1塁走者金子侑:盗塁成功 2塁
183,2塁1塁
184,1番 秋山
185,四球
186,"フォアボールを選ぶ 1,2塁"
187,3塁1塁
188,2番 源田
189,中安
190,"ランナー1,2塁 低めのフォークをセンターへタイムリーヒット 1,3塁 日0-2西"
191,0 - 2
192,2塁1塁
193,3番 浅村
194,左安
195,"ランナー1,3塁 低めのフォークをレフトへタイムリーヒット 1,2塁 日0-3西"
196,0 - 3
197,      3アウト
198,4番 山川
199,空三振
200,低めのフォークを空振り三振 3アウトチェンジ
201,5回表を閉じる
202,5回裏 北海道日本ハムの攻撃
203,  1塁
204,      ノーアウト
205,投手 ウルフ
206,7番 横尾
207,中安
208,外角低めのカーブをセンターへ打ってヒット 1塁
209,      1アウト
210,8番 石井一
211,二ゴロ
212,ランナー1塁 高めのツーシームを打つもセカンドゴロ 1アウト
213,2塁
214,      2アウト
215,9番 清水
216,三ゴロ
217,ランナー1塁 外角低めのカーブを打つもサードゴロ 2塁 2アウト
218,      3アウト
219,1番 西川
220,遊飛
221,ランナー2塁 内角高めのカーブを打つもショートフライ 3アウトチェンジ
222,5回裏を閉じる
223,6回表 埼玉西武の攻撃
224,  1塁
225,      ノーアウト
226,投手 加藤
227,5番 中村
228,四球
229,フォアボールを選ぶ 1塁
230,2塁
231,      1アウト
232,6番 外崎
233,一ゴロ
234,ランナー1塁 内角高めのストレートを打つもファーストゴロ 2塁 1アウト
235,投手 西村
236,投手交代:西村
237,      2アウト
238,7番 メヒア
239,一邪飛
240,ファウルフライを中田(一)が捕球してバッターアウト 2アウト
241,2塁1塁
242,8番 炭谷
243,四球
244,"フォアボールを選ぶ 1,2塁"
245,      3アウト
246,9番 金子侑
247,一ゴロ
248,"ランナー1,2塁 外角のストレートを打つもファーストゴロ 3アウトチェンジ"
249,6回表を閉じる
250,6回裏 北海道日本ハムの攻撃
251,  1塁
252,      ノーアウト
253,投手 ウルフ
254,2番 近藤
255,中安
256,低めのツーシームをセンターへ打ってヒット 1塁
257,      1アウト
258,3番 レアード
259,中飛
260,ランナー1塁 内角低めのツーシームを打つもセンターフライ 1アウト
261,      2アウト
262,4番 中田
263,中飛
264,ランナー1塁 外角のツーシームを打つもセンターフライ 2アウト
265,3塁1塁
266,5番 アルシア
267,中安
268,"ランナー1塁 低めのツーシームをセンターへ打ってヒット 1,3塁"
269,      3アウト
270,6番 松本
271,遊ゴロ
272,"ランナー1,3塁 外角のツーシームを打つもショートゴロ 3アウトチェンジ"
273,6回裏を閉じる
274,7回表 埼玉西武の攻撃
275,  ランナー無し
276,      ノーアウト
277,投手 西村
278,投手 宮西
279,守備変更:宮西→ピッチャー
280,      1アウト
281,1番 秋山
282,左飛
283,内角低めのストレートを打つもレフトフライ 1アウト
284,      2アウト
285,2番 源田
286,空三振
287,外角低めのストレートを空振り三振 2アウト
288,1塁
289,3番 浅村
290,死球
291,デッドボールを受ける 1塁
292,      3アウト
293,4番 山川
294,投ゴロ
295,ランナー1塁 外角低めのシンカーを打つもピッチャーゴロ 3アウトチェンジ
296,7回表を閉じる
297,7回裏 北海道日本ハムの攻撃
298,  ランナー無し
299,      ノーアウト
300,投手 ウルフ
301,投手 武隈
302,守備変更:武隈→ピッチャー
303,1塁
304,7番 横尾
305,死球
306,デッドボールを受ける 1塁
307,石井一→代打:大田
308,      1アウト
309,8番 大田
310,空三振
311,内角低めのストレートを空振り三振 1アウト
312,2塁1塁
313,9番 清水
314,四球
315,"フォアボールを選ぶ 1,2塁"
316,      2アウト
317,1番 西川
318,空三振
319,外角のストレートを空振り三振 2アウト
320,      3アウト
321,2番 近藤
322,一ゴロ
323,"ランナー1,2塁 内角のストレートを打つもファーストゴロ 3アウトチェンジ"
324,7回裏を閉じる
325,8回表 埼玉西武の攻撃
326,  来日初登板のトンキン投手
327,ランナー無し
328,      ノーアウト
329,投手 宮西
330,投手 トンキン
331,守備変更:太田→ショート 守備変更:トンキン→ピッチャー
332,      1アウト
333,5番 中村
334,遊飛
335,内角低めのスライダーを打つもショートフライ 1アウト
336,      2アウト
337,6番 外崎
338,空三振
339,151キロの外角のストレートを空振り三振 2アウト
340,      3アウト
341,7番 メヒア
342,左飛
343,151キロの外角のストレートを打つもレフトフライ 3アウトチェンジ
344,8回表を閉じる
345,8回裏 北海道日本ハムの攻撃
346,  ランナー無し
347,      ノーアウト
348,投手 武隈
349,投手 平井
350,守備変更:平井→ピッチャー
351,      1アウト
352,3番 レアード
353,遊ゴロ
354,内角低めのストレートを打つもショートゴロ 1アウト
355,4番 中田
356,左本
357,カウント0-1からレフトスタンドへホームラン！ 日1-3西
358,1 - 3
359,      2アウト
360,5番 アルシア
361,捕邪飛
362,ファウルフライを炭谷(捕)が捕球してバッターアウト 2アウト
363,      3アウト
364,6番 松本
365,中飛
366,内角低めのストレートを打つもセンターフライ 3アウトチェンジ
367,8回裏を閉じる
368,9回表 埼玉西武の攻撃
369,  ランナー無し
370,      ノーアウト
371,投手 トンキン
372,投手 石川直
373,守備変更:石川直→ピッチャー
374,1塁
375,8番 炭谷
376,中安
377,外角低めのフォークをセンターへ打ってヒット 1塁
378,2塁
379,      1アウト
380,9番 金子侑
381,一ゴロ
382,ランナー1塁 低めのスライダーを打つもファーストゴロ
383,太田(遊)の悪送球により進塁する 2塁 1アウト
384,3塁
385,      2アウト
386,1番 秋山
387,一ゴロ
388,ランナー2塁 外角低めのスライダーを打つもファーストゴロ 3塁 2アウト
389,1塁
390,2番 源田
391,中安
392,ランナー3塁 外角のフォークをセンターへタイムリーヒット 1塁 日1-4西
393,1 - 4
394,      3アウト
395,3番 浅村
396,一邪飛
397,ファウルフライを中田(一)が捕球してバッターアウト 3アウトチェンジ
398,9回表を閉じる
399,9回裏 北海道日本ハムの攻撃
400,  ランナー無し
401,      ノーアウト
402,投手 平井
403,投手 増田
404,守備変更:増田→ピッチャー
405,      1アウト
406,7番 横尾
407,一ゴロ
408,外角低めのスライダーを打つもファーストゴロ 1アウト
409,太田→代打:田中賢
410,      2アウト
411,8番 田中賢介
412,右飛
413,高めのストレートを打つもライトフライ 2アウト
414,清水→代打:矢野
415,1塁
416,9番 矢野
417,四球
418,フォアボールを選ぶ 1塁
419,1塁矢野→代走:中島卓
420,      3アウト
421,1番 西川
422,三ゴロ
423,ランナー1塁 外角のストレートを打つもサードゴロ 3アウトゲームセット
424,試合終了
425,9回裏を閉じる
